"","series","baker_first_name","baker_last_name","baker_age","baker_occupation","hometown","episode","technical","result","signature_bake","show_stopper"
"92",2,"Ian","Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire",3,10,"OUT","Courgette, Caerphilly Cheese and Thyme Loaf","Walnut and Raisin RollsCracked Wheat Logs"
"93",2,"Urvashi","Roe",40,"Head of Marketing","Enfield, London",3,9,"OUT","Salt and Peppercorn Loaf","Chilli and Halloumi RollsLemon and Coriander Mini Loaves"
"94",2,"Yasmin","Limbert",43,"Childminder","West Kirby, The Wirral",3,2,"STAR BAKER","Egyptian Dukkah Loaf with Mixed Spices","Pesto Bread
Sweet Coconut Rolls"
"95",2,"Keith","Batsford",31,"House husband","Arlesey, Bedfordshire",3,NA,NA,NA,NA
"96",2,"Simon","Blackwell",31,"Rugby Coach","Norfolk",3,NA,NA,NA,NA
"97",2,"Janet","Basu",63,"Teacher of Modern Languages","Formby, Liverpool",4,4,"IN","Christmas Marzipan Biscuits","Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
"98",2,"Jo","Wheatley",41,"Housewife","Ongar, Essex",4,8,"IN","Lavender Biscuits","Blueberry MacaronsCoconut MacaronsStrawberry Macarons"
"99",2,"Mary-Anne","Boermans",45,"Housewife","Kidderminster, Worcestershire",4,2,"IN","Melting Moments","Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons"
"100",2,"Robert","Billington",25,"Photographer","London",4,7,"IN","Chocolate and Ginger Oat Biscuits","Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons"
"101",2,"Yasmin","Limbert",43,"Childminder","West Kirby, The Wirral",4,6,"IN","Chocolate Chip and Pistachio Biscotti","Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons"
"102",2,"Ben","Frazer",31,"Graphic Designer","Northampton",4,5,"OUT","Stem Ginger Nuts","Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons"
"103",2,"Holly","Bell",31,"Advertising executive","Leicester",4,3,"STAR BAKER","Strawberry and Custard Melts","'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
"104",2,"Jason","White",19,"Civil Engineering Student","Croydon",4,1,"STAR BAKER","Lebkuchen","Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
"105",2,"Ian","Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire",4,NA,NA,NA,NA
"106",2,"Keith","Batsford",31,"House husband","Arlesey, Bedfordshire",4,NA,NA,NA,NA
"107",2,"Simon","Blackwell",31,"Rugby Coach","Norfolk",4,NA,NA,NA,NA
"108",2,"Urvashi","Roe",40,"Head of Marketing","Enfield, London",4,NA,NA,NA,NA
"109",2,"Holly","Bell",31,"Advertising executive","Leicester",5,4,"IN","Stilton, Potato and Caramelised Onion Pie","Lime Meringue Pie"
"110",2,"Jo","Wheatley",41,"Housewife","Ongar, Essex",5,6,"IN","Salmon and Asparagus Pie","Apple and Raspberry Meringue Pie"
"111",2,"Mary-Anne","Boermans",45,"Housewife","Kidderminster, Worcestershire",5,2,"IN","Chicken and Bacon Pie","Midnight Meringue"
"112",2,"Yasmin","Limbert",43,"Childminder","West Kirby, The Wirral",5,5,"IN","Family Fish Pie","Peach and Raspberry Meringue Pie"
"113",2,"Jason","White",19,"Civil Engineering Student","Croydon",5,7,"OUT","Brown Down Chicken Pie","Plum Meringue Pie"
"114",2,"Robert","Billington",25,"Photographer","London",5,3,"OUT","Chicken and Mushroom Pie","Rhubarb and Custard Meringue Pie"
"115",2,"Janet","Basu",63,"Teacher of Modern Languages","Formby, Liverpool",5,1,"STAR BAKER","Chicken and Chestnut Pie","Rhubarb Meringue Pie"
"116",2,"Ben","Frazer",31,"Graphic Designer","Northampton",5,NA,NA,NA,NA
"117",2,"Ian","Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire",5,NA,NA,NA,NA
"118",2,"Keith","Batsford",31,"House husband","Arlesey, Bedfordshire",5,NA,NA,NA,NA
"119",2,"Simon","Blackwell",31,"Rugby Coach","Norfolk",5,NA,NA,NA,NA
"120",2,"Urvashi","Roe",40,"Head of Marketing","Enfield, London",5,NA,NA,NA,NA
"121",2,"Holly","Bell",31,"Advertising executive","Leicester",6,3,"IN","Father Christmas' Baked Cheesecake","Hansel and Gretel's Croquembouche"
"122",2,"Janet","Basu",63,"Teacher of Modern Languages","Formby, Liverpool",6,5,"IN","Rhubarb and Ginger Baked Cheesecake","Orange and Nougatine Croquembouche"
"123",2,"Mary-Anne","Boermans",45,"Housewife","Kidderminster, Worcestershire",6,4,"IN","Tutti Fruitti Curd Baked Cheesecake","Orange and Praline Croquembouche with Cardamom Caramel"
"124",2,"Yasmin","Limbert",43,"Childminder","West Kirby, The Wirral",6,2,"OUT","Baked Amaretto Cheesecake","Rose Croquembouche"
"125",2,"Jo","Wheatley",41,"Housewife","Ongar, Essex",6,1,"STAR BAKER","Rum and Raisin Baked Cheesecake","Limoncello and White Chocolate Croquembouche"
"126",2,"Ben","Frazer",31,"Graphic Designer","Northampton",6,NA,NA,NA,NA
"127",2,"Ian","Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire",6,NA,NA,NA,NA
"128",2,"Jason","White",19,"Civil Engineering Student","Croydon",6,NA,NA,NA,NA
"129",2,"Keith","Batsford",31,"House husband","Arlesey, Bedfordshire",6,NA,NA,NA,NA
"130",2,"Robert","Billington",25,"Photographer","London",6,NA,NA,NA,NA
"131",2,"Simon","Blackwell",31,"Rugby Coach","Norfolk",6,NA,NA,NA,NA
"132",2,"Urvashi","Roe",40,"Head of Marketing","Enfield, London",6,NA,NA,NA,NA
"133",2,"Holly","Bell",31,"Advertising executive","Leicester",7,1,"IN","White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
"134",2,"Jo","Wheatley",41,"Housewife","Ongar, Essex",7,3,"IN","Raspberry & Strawberry Mousse Cake","Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries"
"135",2,"Mary-Anne","Boermans",45,"Housewife","Kidderminster, Worcestershire",7,2,"IN","Chocolate and Orange Mousse Cake","Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes"
